baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,y
3.213895529,-4.992108655,0.774225014,-6.447878282,1.13E-10,6.97E-10,0
94.43328734,-2.666089545,0.520132569,-5.125788512,2.96E-07,1.18E-06,0
3.249456642,-4.152662684,0.62213712,-6.674835094,2.48E-11,1.66E-10,0
2920.128221,5.483313263,0.248659374,22.05150435,9.24E-108,8.94E-105,0
862.9733844,2.039760574,0.121706999,16.75959962,4.82E-63,8.54E-61,0
192.0069986,-3.930455119,0.331977106,-11.83953668,2.44E-32,9.72E-31,0
23.11182869,3.179021679,0.660089564,4.816045963,1.46E-06,5.26E-06,0
1666.052318,1.971195007,0.18791153,10.49001625,9.60E-26,2.45E-24,0
533.4279138,1.199557577,0.187801251,6.387378001,1.69E-10,1.02E-09,0
31.6739219,-3.117832473,0.49708032,-6.272291114,3.56E-10,2.06E-09,0
2.804372455,1.72273993,0.848767829,2.029695131,0.042387538,0.067848473,0
20.35583083,1.904877851,0.808616287,2.355725308,0.018486582,0.03229097,0
33.33698512,2.031442558,0.784161932,2.590590635,0.009581139,0.017821343,0
22.64441112,-6.141601516,0.3718186,-16.51773611,2.73E-61,4.53E-59,0
111.1942865,-2.343186226,0.600227569,-3.903829725,9.47E-05,0.000256219,0
435.2033155,0.801815824,0.217082783,3.693594727,0.000221106,0.000561033,0
14.63018917,3.090456904,1.122937687,2.752117895,0.00592112,0.011501739,0
5.278440833,5.23339233,1.750556541,2.989559154,0.002793803,0.005797019,0
5.517061719,-2.174218692,0.743234307,-2.925347593,0.003440717,0.007004634,0
3426.092107,0.859933652,0.25200101,3.412421443,0.000643885,0.001504951,0
226.3410302,-3.570058585,0.645609925,-5.529745508,3.21E-08,1.45E-07,0
47.88679213,3.690608453,1.014891081,3.636457667,0.000276413,0.000688496,0
317.7456927,2.089319222,0.687717137,3.038050253,0.002381142,0.005005732,0
826.3286824,3.522228355,0.550597407,6.397103052,1.58E-10,9.58E-10,0
272.3225779,1.161795127,0.212353887,5.471033027,4.47E-08,1.99E-07,0
53.66500397,3.631825406,0.674913543,5.381171327,7.40E-08,3.19E-07,0
555.0661885,-2.200298019,0.656532639,-3.351391671,0.000804065,0.001847748,0
431.2300895,1.583832335,0.186533913,8.490854609,2.05E-17,2.67E-16,0
4869.839525,-2.357244205,0.19653246,-11.99417242,3.81E-33,1.60E-31,0
506.3423361,-1.892178399,0.718944991,-2.631882026,0.008491334,0.015973801,0
220.6092658,-2.218294425,0.314350462,-7.056755741,1.70E-12,1.32E-11,0
4424.492572,2.478923589,0.473292318,5.237616365,1.63E-07,6.69E-07,0
79.76939029,-4.294407794,0.29218983,-14.69732124,6.71E-49,6.36E-47,0
40.05601266,-2.560199639,0.581765569,-4.400741081,1.08E-05,3.39E-05,0
289.349656,1.0881591,0.230368318,4.723562292,2.32E-06,8.09E-06,0
22.26825199,5.213665668,0.947084766,5.504962024,3.69E-08,1.66E-07,0
688.2326895,1.316212393,0.277910835,4.736095998,2.18E-06,7.63E-06,0
15.68068309,-4.401708612,0.796446402,-5.526685284,3.26E-08,1.48E-07,0
1714.863953,0.967366223,0.227829827,4.24600342,2.18E-05,6.52E-05,0
46.39626756,6.169885008,2.037349132,3.02838866,0.002458617,0.005155102,0
30.4387303,-2.159390798,0.45089693,-4.789100685,1.68E-06,5.97E-06,0
2556.679417,-2.405519283,0.224092917,-10.73447264,7.01E-27,1.92E-25,0
